productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
557330,Stellar Crown Build & Battle Box,Stellar Crown Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/557330_200w.jpg,3,23537,https://cpt.tcgcsv.com/DXs6,2024-12-23T20:26:37.207,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!
<br><br>Contents:
<br>• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards
<br>• 4 Pokémon TCG: Scarlet & Violet booster packs
<br>• A code card for Pokémon TCG Live",0820650859274,39.99,48.49,69.99,39.99,,Normal,,,,,,,,,,
557331,Stellar Crown Booster Pack,Stellar Crown Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/557331_200w.jpg,3,23537,https://cpt.tcgcsv.com/FXs6,2024-12-05T22:32:45.747,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!",,6.67,8.99,25.0,8.38,,Normal,,,,,,,,,,
557334,Stellar Crown 3 Pack Blisters [Latias],Stellar Crown 3 Pack Blisters Latias,https://tcgplayer-cdn.tcgplayer.com/product/557334_200w.jpg,3,23537,https://cpt.tcgcsv.com/JXs6,2025-05-21T19:16:19.737,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>
Each blister comes with 3 Stellar Crown booster packs, a coin, and a promotional card of Latias.",0820650413056,28.59,34.5,42.09,28.59,,Normal,,,,,,,,,,
557337,Stellar Crown 3 Pack Blisters [Tinkaton],Stellar Crown 3 Pack Blisters Tinkaton,https://tcgplayer-cdn.tcgplayer.com/product/557337_200w.jpg,3,23537,https://cpt.tcgcsv.com/MXs6,2025-05-21T19:16:26.163,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>
Each blister comes with 3 Stellar Crown booster packs, a coin, and a promotional card of Tinkaton.",0820650413056,29.98,35.99,99.99,26.23,,Normal,,,,,,,,,,
557338,Stellar Crown Single Pack Blister [Horsea],Stellar Crown Single Pack Blister Horsea,https://tcgplayer-cdn.tcgplayer.com/product/557338_200w.jpg,3,23537,https://cpt.tcgcsv.com/NXs6,2024-09-13T04:08:36.667,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!
<br>Each blister contains 1 Stellar Crown booster pack, a coin, and a promotional card of Horsea.",,11.0,11.75,14.99,10.77,,Normal,,,,,,,,,,
557340,Stellar Crown Pokemon Center Elite Trainer Box (Exclusive),Stellar Crown Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/557340_200w.jpg,3,23537,https://cpt.tcgcsv.com/QXs6,2025-05-21T19:18:26.997,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>
The Pokémon TCG: Scarlet & Violet—Stellar Crown Pokémon Center Elite Trainer Box includes:
<br>11 Pokémon TCG: Scarlet & Violet—Stellar Crown booster packs
Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.
<br>1 full-art foil promo card featuring Noctowl with a Pokémon Center logo
<br>1 full-art foil promo card featuring Noctowl
<br>65 card sleeves featuring Stellar Form Terapagos
<br>45 Pokémon TCG Energy cards
<br>A player’s guide to the Scarlet & Violet—Stellar Crown expansion
<br>6 damage-counter dice
<br>1 competition-legal coin-flip die
<br>2 plastic condition markers
<br>A box to hold everything, with 4 dividers to keep it organized
<br>A code card for Pokémon Trading Card Game Live",,120.0,180.0,999.0,133.03,,Normal,,,,,,,,,,
557341,Stellar Crown Single Pack Blister [Porygon2],Stellar Crown Single Pack Blister Porygon2,https://tcgplayer-cdn.tcgplayer.com/product/557341_200w.jpg,3,23537,https://cpt.tcgcsv.com/RXs6,2024-09-13T04:08:36.667,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!
<br>Each blister contains 1 Stellar Crown booster pack, a coin, and a promotional card of Porygon2.",,11.4,11.71,16.49,11.47,,Normal,,,,,,,,,,
557345,Stellar Crown Booster Bundle,Stellar Crown Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/557345_200w.jpg,3,23537,https://cpt.tcgcsv.com/WXs6,2024-09-13T04:08:36.667,1,"An Adventure to Awaken the Power Within!
<br>
Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!
<br>
• Over 170 cards
<br>
• 10 Pokémon ex and 4 Stellar Tera Pokémon ex
<br>
• More than 20 Trainer cards
<br>
• More than 30 Pokémon and Trainer cards with special illustrations
<br>
• 3 ACE SPEC rare Trainer cards
<br>
• 13 illustration rare Pokémon
<br>
• 6 special illustration rare Pokémon and Supporter cards
<br>
• 3 hyper rare gold etched cards

<br><br>

Includes: <br>
• 6 Pokémon TCG: Scarlet & Violet—Stellar Crown booster packs
<br><br><em>(Pokemon TCG booster packs and contents vary by product.)</em>",820650878558,48.9,57.03,999.0,49.62,,Normal,,,,,,,,,,
557350,Stellar Crown Elite Trainer Box,Stellar Crown Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/557350_200w.jpg,3,23537,https://cpt.tcgcsv.com/0Zs6,2025-05-21T19:17:56.967,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>
The Pokémon TCG: Scarlet & Violet—Stellar Crown Elite Trainer Box includes:
<br>9 Pokémon TCG: Scarlet & Violet—Stellar Crown booster packs
<br>Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.
<br>1 full-art foil promo card featuring Noctowl with a Pokémon Center logo
<br>1 full-art foil promo card featuring Noctowl
<br>65 card sleeves featuring Stellar Form Terapagos
<br>45 Pokémon TCG Energy cards
<br>A player’s guide to the Scarlet & Violet—Stellar Crown expansion
<br>6 damage-counter dice
<br>1 competition-legal coin-flip die
<br>2 plastic condition markers
<br>A box to hold everything, with 4 dividers to keep it organized
<br>A code card for Pokémon Trading Card Game Live",,92.0,125.65,175.0,100.97,,Normal,,,,,,,,,,
557352,Stellar Crown Sleeved Booster Pack,Stellar Crown Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/557352_200w.jpg,3,23537,https://cpt.tcgcsv.com/3Zs6,2024-09-13T04:08:36.667,1,Each Stellar Crown sleeved booster pack contains 10 random cards.,820650879005,7.0,9.0,49.95,8.54,,Normal,,,,,,,,,,
557354,Stellar Crown Booster Box,Stellar Crown Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/557354_200w.jpg,3,23537,https://cpt.tcgcsv.com/6Zs6,2025-05-21T19:16:37.647,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>

Each Stellar Crown booster display contains 36 booster packs.<br> <em>(Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.)</em>
<br>Over 170 cards
<br>10 Pokémon ex and 4 Stellar Tera Pokémon ex
<br>More than 20 Trainer cards
<br>More than 30 Pokémon and Trainer cards with special illustrations
<br>3 ACE SPEC rare Trainer cards
<br>13 illustration rare Pokémon
<br>6 special illustration rare Pokémon and Supporter cards
<br>3 hyper rare gold etched cards",,295.0,339.99,9999.99,297.19,,Normal,,,,,,,,,,
557357,Stellar Crown Booster Pack Art Bundle [Set of 4],Stellar Crown Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/557357_200w.jpg,3,23537,https://cpt.tcgcsv.com/9Zs6,2025-05-21T19:16:55.393,1,"An Adventure to Awaken the Power Within!
<br>Descend into a world below the surface and discover the true potential of the Terastal phenomenon! The Legendary Pokémon Terapagos takes the throne, joined by Cinderace ex, Lapras ex, and Galvantula ex, all wielding brilliant new powers as Stellar Tera Pokémon ex. The newly discovered Hydrapple ex leads even more Pokémon ex into battle, and ACE SPEC cards continue to shake up the game in the Pokémon TCG: Scarlet & Violet—Stellar Crown expansion!<br><br>
Collect each of the 4 unique art packs for Stellar Crown.
<br>Each Stellar Crown booster pack contains 10 random cards.",,,,,,,,,,,,,,,,,
