productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
552997,Shrouded Fable Booster Pack,Shrouded Fable Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/552997_200w.jpg,3,23529,https://cpt.tcgcsv.com/Zcr6,2024-08-02T04:09:22.817,1,"Shadowy Secrets & Toxic Tricks!
<br>
Rumors swirl and memories deceive as the march of time beats on in the land of Kitakami! Prepare for nightfall and discover a malevolent presence as Pecharunt ex commands the Loyal Three—Okidogi ex, Munkidori ex, and Fezandipiti ex—to do its nefarious bidding. Meanwhile, Revavroom ex plugs into the grid to Terastallize into a Lightning type, and Kingdra ex makes a royal splash in the Pokémon TCG: Scarlet & Violet—Shrouded Fable expansion!
<br>Each Shrouded Fable booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.",7.99,8.98,19.98,8.35,,Normal,,,,,,,,,,,
552998,Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),Shrouded Fable Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/552998_200w.jpg,3,23529,https://cpt.tcgcsv.com/-cr6,2024-08-23T04:08:15.207,2,"The Pokémon TCG: Scarlet & Violet—Shrouded Fable Pokémon Center Elite Trainer Box includes:
<br>
<br>• 11 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• Each Pokémon TCG: Scarlet & Violet—Shrouded Fable booster pack contains 10 cards and 1 Basic Energy.
<br>• 1 full-art foil promo card featuring Pecharunt with a Pokémon Center logo
<br>• 1 full-art foil promo card featuring Pecharunt
<br>• 65 card sleeves featuring Okidogi, Munkidori, and Fezandipiti
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet—Shrouded Fable expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",140.0,227.5,750.0,134.37,,Normal,,,,,,,,,,,
552999,Shrouded Fable Elite Trainer Box,Shrouded Fable Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/552999_200w.jpg,3,23529,https://cpt.tcgcsv.com/_cr6,2024-08-23T04:08:15.207,1,"The Pokémon TCG: Scarlet & Violet—Shrouded Fable Elite Trainer Box includes:
<br>
<br>• 9 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• 1 full-art foil promo card featuring Pecharunt
<br>• 65 card sleeves featuring Okidogi, Munkidori, and Fezandipiti
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet—Shrouded Fable expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",79.1,99.99,200.0,84.58,,Normal,,,,,,,,,,,
553000,Kingambit Illustration Collection,Kingambit Illustration Collection,https://tcgplayer-cdn.tcgplayer.com/product/553000_200w.jpg,3,23529,https://cpt.tcgcsv.com/0dr6,2024-08-02T04:09:22.817,1,"Kingambit Brings Down the Big Blade!
<br>Kingambit overcomes all challengers to become the leader of its own army! With this noble collection, you can add the Big Blade Pokémon to your team as an illustration rare-style promo card, joined by foil cards featuring Pawniard and Bisharp. You’ll also find four booster packs from the special Scarlet & Violet—Shrouded Fable expansion!
<br><br>

The Pokémon TCG: Scarlet & Violet—Shrouded Fable Kingambit Illustration Collection includes:
<br>• 1 full-art foil promo card featuring Kingambit
<br>• 2 foil cards featuring Pawniard and Bisharp
<br>• 4 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• A code card for Pokémon TCG Live",30.0,47.52,100.0,37.65,,Normal,,,,,,,,,,,
553001,Kingdra ex Special Illustration Collection,Kingdra ex Special Illustration Collection,https://tcgplayer-cdn.tcgplayer.com/product/553001_200w.jpg,3,23529,https://cpt.tcgcsv.com/2dr6,2024-08-02T04:09:22.817,1,"Strike, Slash, and Take Command with Strong Pokémon ex!
<br>Adorn your collection with artistic flair in this special collection from the Pokémon TCG: Scarlet & Violet—Shrouded Fable expansion! Inside is a special
illustration rare–style promo card featuring one of two Pokémon ex, plus foil cards of their Evolution chain. And with the included Pokémon TCG booster
packs, you’re sure to find even more awesome Pokémon for your next battle!
<br><br>

The Pokémon TCG: Scarlet & Violet—Shrouded Fable Kingdra ex/Greninja ex Special Illustration Collection includes:
<br>• 1 full-art foil promo card featuring Kingdra ex or Greninja ex
<br>• 2 foil cards featuring either Horsea and Seadra, or Froakie and Frogadier
<br>• 5 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• A code card for Pokémon TCG Live",114.34,150.0,300.0,119.57,,Normal,,,,,,,,,,,
553002,Greninja ex Special Illustration Collection,Greninja ex Special Illustration Collection,https://tcgplayer-cdn.tcgplayer.com/product/553002_200w.jpg,3,23529,https://cpt.tcgcsv.com/3dr6,2024-08-02T04:09:22.817,1,"Strike, Slash, and Take Command with Strong Pokémon ex!
<br>Adorn your collection with artistic flair in this special collection from the Pokémon TCG: Scarlet & Violet—Shrouded Fable expansion! Inside is a special
illustration rare–style promo card featuring one of two Pokémon ex, plus foil cards of their Evolution chain. And with the included Pokémon TCG booster
packs, you’re sure to find even more awesome Pokémon for your next battle!
<br><br>

The Pokémon TCG: Scarlet & Violet—Shrouded Fable Kingdra ex/Greninja ex Special Illustration Collection includes:
<br>• 1 full-art foil promo card featuring Kingdra ex or Greninja ex
<br>• 2 foil cards featuring either Horsea and Seadra, or Froakie and Frogadier
<br>• 5 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• A code card for Pokémon TCG Live",130.0,149.99,315.89,125.19,,Normal,,,,,,,,,,,
553007,Shrouded Fable 3 Pack Blister [Pecharunt],Shrouded Fable 3 Pack Blister Pecharunt,https://tcgplayer-cdn.tcgplayer.com/product/553007_200w.jpg,3,23529,https://cpt.tcgcsv.com/9dr6,2024-08-02T04:09:22.817,1,"Give Your Collection a Boost!
<br>Get in on the latest Pokémon TCG action with three awesome booster packs from the new Scarlet & Violet—Shrouded Fable expansion, a special foil promo
card, and a code card for Pokémon TCG Live!
<br><br>

This set includes:
<br>• 1 foil promo card featuring Pecharunt
<br>• 3 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• A code card for Pokémon TCG Live",26.99,32.99,33.04,33.04,,Normal,,,,,,,,,,,
553008,Shrouded Fable Mini Tin Display,Shrouded Fable Mini Tin Display,https://tcgplayer-cdn.tcgplayer.com/product/553008_200w.jpg,3,23529,https://cpt.tcgcsv.com/bdr6,2025-01-22T12:52:57.62,1,"Featuring 2 of each of the Shrouded Fable Mini Tins (for a total of 10). Each tin contains two booster packs, a sticker sheet, and featured Pokemon art card.",169.95,179.99,219.97,162.64,,Normal,,,,,,,,,,,
553009,Shrouded Fable Mini Tin [Set of 5],Shrouded Fable Mini Tin Set of 5,https://tcgplayer-cdn.tcgplayer.com/product/553009_200w.jpg,3,23529,https://cpt.tcgcsv.com/cdr6,2024-08-02T04:09:22.817,1,"Pokémon Favorites in the Palm of Your Hand!
<br>
<br>In this Pokémon TCG: Scarlet & Violet—Shrouded Fable Mini Tin, you’ll find:
<br>• 2 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• 1 sticker sheet
<br>• A Pokémon art card showing the art from this Mini Tin—you can collect and combine all 5!",110.0,110.0,110.0,77.2,,Normal,,,,,,,,,,,
553010,Shrouded Fable Mini Tin (Zoroark),Shrouded Fable Mini Tin Zoroark,https://tcgplayer-cdn.tcgplayer.com/product/553010_200w.jpg,3,23529,https://cpt.tcgcsv.com/ddr6,2024-08-02T04:09:22.817,1,"Pokémon Favorites in the Palm of Your Hand!
<br>
<br>In this Pokémon TCG: Scarlet & Violet—Shrouded Fable Mini Tin, you’ll find:
<br>• 2 Pokémon TCG: Scarlet & Violet—Shrouded Fable booster packs
<br>• 1 sticker sheet
<br>• A Pokémon art card showing the art from this Mini Tin—you can collect and combine all 5!",21.95,24.97,27.99,22.48,,Normal,,,,,,,,,,,
